Scenario_ID,Difficulty,Scenario_Description,Question_ID,Question_Text,Character,Innocent_Answer,Guilty_Answer
Easy 2,Easy,Same as above,Q2,Do you have any injuries on your hands?,Delivery Man,"Calluses from lifting boxes, nothing fresh.",I scraped my knuckles fixing my bike.
Easy 2,Easy,Same as above,Q2,Do you have any injuries on your hands?,Doctor,Sterile hands—I scrubbed in for surgery.,A cat scratched me this morning.
Easy 2,Easy,Same as above,Q2,Do you have any injuries on your hands?,Bystander,"Nope, I moisturize daily.",I burned myself cooking yesterday.
Easy 2,Easy,Same as above,Q2,Do you have any injuries on your hands?,Old Man,"Arthritis, but no new injuries.",My hands? Why do you ask?
Easy 2,Easy,Same as above,Q2,Do you have any injuries on your hands?,Bartender,"Broken glass cuts sometimes, but not lately.",I bandaged a small cut. From a lemon.
Easy 2,Easy,Same as above,Q2,Do you have any injuries on your hands?,Electrician,Wore work gloves all day.,I nicked myself on a screwdriver.
Easy 2,Easy,Same as above,Q2,Do you have any injuries on your hands?,Taxi Driver,Clean hands—used hand sanitizer.,I cut myself shaving. My hands? Oh.
Easy 2,Easy,Same as above,Q2,Do you have any injuries on your hands?,Tutor,"No, I’m careful with paper edges.",I... burned myself on a coffee cup.
Easy 2,Easy,Same as above,Q3,Did you hear or see anything unusual?,Lawyer,"No, my apartment is soundproofed.","I heard a loud noise, but thought it was a car."
Easy 2,Easy,Same as above,Q3,Did you hear or see anything unusual?,Delivery Man,Just traffic noises.,"I saw someone running, but didn’t get a look."
Easy 2,Easy,Same as above,Q3,Did you hear or see anything unusual?,Doctor,"Hospital alarms, but nothing from the café.",I might’ve heard glass breaking. Maybe.
Easy 2,Easy,Same as above,Q3,Did you hear or see anything unusual?,Bystander,My movie was too loud to hear anything.,Nope. Nothing at all.
Easy 2,Easy,Same as above,Q3,Did you hear or see anything unusual?,Old Man,I’m a heavy sleeper.,"I heard a bang, but figured it was kids."
Easy 2,Easy,Same as above,Q3,Did you hear or see anything unusual?,Bartender,My staff was cleaning glassware—noise is normal.,I was too tired to notice anything.
Easy 2,Easy,Same as above,Q3,Did you hear or see anything unusual?,Electrician,Client’s dog was barking nonstop.,I don’t pay attention to noises.
Easy 2,Easy,Same as above,Q3,Did you hear or see anything unusual?,Taxi Driver,Radio was on—didn’t hear anything.,I saw glass on the ground later.
Easy 2,Easy,Same as above,Q3,Did you hear or see anything unusual?,Tutor,My neighbor’s TV was blaring.,"I thought I heard shouting, but ignored it."
Easy 2,Easy,Same as above,Q4,What’s your relationship with the café owner?,Lawyer,I’ve never met them.,He sued me once. It’s resolved.
Easy 2,Easy,Same as above,Q4,What’s your relationship with the café owner?,Delivery Man,I deliver their pastries weekly.,No relationship. Never been there.
Easy 2,Easy,Same as above,Q4,What’s your relationship with the café owner?,Doctor,I treated their son for a broken arm.,I go there sometimes. Not friends.
Easy 2,Easy,Same as above,Q4,What’s your relationship with the café owner?,Bystander,I’m a regular customer.,I don’t like their coffee. Too bitter.
Easy 2,Easy,Same as above,Q4,What’s your relationship with the café owner?,Old Man,They give me free tea sometimes.,They banned me for loitering once.
Easy 2,Easy,Same as above,Q4,What’s your relationship with the café owner?,Bartender,We’re in the same business—friendly.,I applied for a job there. Got rejected.
Easy 2,Easy,Same as above,Q4,What’s your relationship with the café owner?,Electrician,Fixed their outlets last month.,They owe me money for repairs.
Easy 2,Easy,Same as above,Q4,What’s your relationship with the café owner?,Taxi Driver,They call cabs for drunk customers.,I had a fight with their barista.
Easy 2,Easy,Same as above,Q4,What’s your relationship with the café owner?,Tutor,I tutor their niece in math.,They accused me of stealing a tip once.
Easy 2,Easy,Same as above,Q5,Can anyone confirm your whereabouts?,Lawyer,My assistant called me at 10:25 PM.,I live alone. No witnesses.
Easy 2,Easy,Same as above,Q5,Can anyone confirm your whereabouts?,Delivery Man,The customer signed for the package.,I was alone in the van.
Easy 2,Easy,Same as above,Q5,Can anyone confirm your whereabouts?,Doctor,The nurses’ station logs my hours.,I was on break. No one saw me.
Easy 2,Easy,Same as above,Q5,Can anyone confirm your whereabouts?,Bystander,My roommate was home with me.,I don’t keep track of people.
Easy 2,Easy,Same as above,Q5,Can anyone confirm your whereabouts?,Old Man,My cat was on my lap all night.,Who’d remember an old man?
Easy 2,Easy,Same as above,Q5,Can anyone confirm your whereabouts?,Bartender,My staff clocked out with me.,I left alone. No cameras.
Easy 2,Easy,Same as above,Q5,Can anyone confirm your whereabouts?,Electrician,The client has security cameras.,I didn’t log the job officially.
Easy 2,Easy,Same as above,Q5,Can anyone confirm your whereabouts?,Taxi Driver,GPS logs my route.,My last fare paid cash. No record.
Easy 2,Easy,Same as above,Q5,Can anyone confirm your whereabouts?,Tutor,My student’s parents saw me leave.,I didn’t see anyone I knew.
Easy 2,Easy,Same as above,Q6,Have you ever been in trouble with the law?,Lawyer,I uphold the law for a living.,A speeding ticket years ago.
Easy 2,Easy,Same as above,Q6,Have you ever been in trouble with the law?,Delivery Man,Clean record.,A bar fight in my 20s.
Easy 2,Easy,Same as above,Q6,Have you ever been in trouble with the law?,Doctor,Never. Hippocratic Oath.,"A malpractice suit, but dismissed."
Easy 2,Easy,Same as above,Q6,Have you ever been in trouble with the law?,Bystander,Not even a parking ticket.,I was arrested for protesting once.
Easy 2,Easy,Same as above,Q6,Have you ever been in trouble with the law?,Old Man,"Back in my day, we respected cops.",A DUI decades ago.
Easy 2,Easy,Same as above,Q6,Have you ever been in trouble with the law?,Bartender,Only for serving minors—mistakes happen.,A noise complaint last year.
Easy 2,Easy,Same as above,Q6,Have you ever been in trouble with the law?,Electrician,"No, licensed and bonded.",A trespassing warning once.
Easy 2,Easy,Same as above,Q6,Have you ever been in trouble with the law?,Taxi Driver,Spotless driving record.,A fare accused me of overcharging.
Easy 2,Easy,Same as above,Q6,Have you ever been in trouble with the law?,Tutor,"No, background-checked for my job.",A neighbor filed a false complaint.
Easy 2,Easy,Same as above,Q7,Do you know how to use a crowbar?,Lawyer,I’ve never held one.,I’ve used one to open crates.
Easy 2,Easy,Same as above,Q7,Do you know how to use a crowbar?,Delivery Man,For prying open stuck truck doors.,I prefer bolt cutters.
Easy 2,Easy,Same as above,Q7,Do you know how to use a crowbar?,Doctor,Only for medical equipment.,I’m handy. Could figure it out.
Easy 2,Easy,Same as above,Q7,Do you know how to use a crowbar?,Bystander,"Nope, not my thing.",I’ve seen it done in movies.
Easy 2,Easy,Same as above,Q7,Do you know how to use a crowbar?,Old Man,Back in my construction days.,Too old for that now.
Easy 2,Easy,Same as above,Q7,Do you know how to use a crowbar?,Bartender,"For opening kegs, sure.",I’d just call a handyman.
Easy 2,Easy,Same as above,Q7,Do you know how to use a crowbar?,Electrician,Standard tool for my job.,I use one daily. Why?
Easy 2,Easy,Same as above,Q7,Do you know how to use a crowbar?,Taxi Driver,Changed a tire once with one.,I don’t mess with tools.
Easy 2,Easy,Same as above,Q7,Do you know how to use a crowbar?,Tutor,I’m more of a books person.,I could if I had to.
Easy 2,Easy,Same as above,Q8,Why were you in the area last night?,Lawyer,I live two blocks away.,I like night walks. Safe neighborhood.
Easy 2,Easy,Same as above,Q8,Why were you in the area last night?,Delivery Man,Route takes me past the café.,I was hungry. Wanted a snack.
Easy 2,Easy,Same as above,Q8,Why were you in the area last night?,Doctor,Hospital is nearby.,I was visiting a friend. They moved.
Easy 2,Easy,Same as above,Q8,Why were you in the area last night?,Bystander,My apartment is next to the café.,I was meeting someone. They stood me up.
Easy 2,Easy,Same as above,Q8,Why were you in the area last night?,Old Man,I feed the stray cats there.,The night air helps me sleep.
Easy 2,Easy,Same as above,Q8,Why were you in the area last night?,Bartender,Bar’s around the corner.,I was avoiding my ex at work.
Easy 2,Easy,Same as above,Q8,Why were you in the area last night?,Electrician,Client lives on that street.,I was looking for a 24-hour diner.
Easy 2,Easy,Same as above,Q8,Why were you in the area last night?,Taxi Driver,Dropped off a fare nearby.,I was lost. GPS died.
Easy 2,Easy,Same as above,Q8,Why were you in the area last night?,Tutor,Student lives above the café.,I was... just clearing my head.
Easy 2,Easy,Same as above,Q9,Would you mind showing us your phone’s location history?,Lawyer,Here’s my Google Maps timeline.,I have location services off.
Easy 2,Easy,Same as above,Q9,Would you mind showing us your phone’s location history?,Delivery Man,Company app tracks all deliveries.,My phone died last night.
Easy 2,Easy,Same as above,Q9,Would you mind showing us your phone’s location history?,Doctor,Hospital security can pull my badge logs.,I don’t carry my phone at work.
Easy 2,Easy,Same as above,Q9,Would you mind showing us your phone’s location history?,Bystander,Sure—here’s my Uber receipt.,I don’t use location apps.
Easy 2,Easy,Same as above,Q9,Would you mind showing us your phone’s location history?,Old Man,I don’t own a smartphone.,My grandson handles that stuff.
Easy 2,Easy,Same as above,Q9,Would you mind showing us your phone’s location history?,Bartender,Bar’s Wi-Fi logs my check-ins.,I reset my phone yesterday.
Easy 2,Easy,Same as above,Q9,Would you mind showing us your phone’s location history?,Electrician,Job site GPS confirms my location.,I forgot my phone at home.
Easy 2,Easy,Same as above,Q9,Would you mind showing us your phone’s location history?,Taxi Driver,Here’s my ride-hailing app history.,I use a burner phone for work.
Easy 2,Easy,Same as above,Q9,Would you mind showing us your phone’s location history?,Tutor,My calendar shows tutoring sessions.,I privacy-lock my location data.
Easy 3,Easy,"A prized diamond necklace was stolen from a locked display case at the local jewelry store during a power outage last night at 8:45 PM. The thief used glass-cutting tools, and a witness reported hearing a high-pitched whirring noise before the lights came back on.",Q1,Where were you around 8:45 PM last night?,Lawyer,At a client dinner—reservations confirm it.,I was... home alone. No one saw me.
Easy 3,Easy,Same as above,Q1,Where were you around 8:45 PM last night?,Delivery Man,On a break at the depot—cameras show it.,"I was near the store, but just delivering a package."
Easy 3,Easy,Same as above,Q1,Where were you around 8:45 PM last night?,Doctor,In surgery—ask the OR team.,I was driving home. No traffic cams caught me.
Easy 3,Easy,Same as above,Q1,Where were you around 8:45 PM last night?,Bystander,At the gym—check my swipe card.,I was walking nearby. Didn’t see anything.
Easy 3,Easy,Same as above,Q1,Where were you around 8:45 PM last night?,Old Man,Playing chess at the community center.,I was out for a stroll. Old habits.
Easy 3,Easy,Same as above,Q1,Where were you around 8:45 PM last night?,Bartender,Setting up for trivia night—staff saw me.,I left early. No one noticed.
Easy 3,Easy,Same as above,Q1,Where were you around 8:45 PM last night?,Electrician,Fixing a breaker box across town.,I was in the area... working late.
Easy 3,Easy,Same as above,Q1,Where were you around 8:45 PM last night?,Taxi Driver,Dropping off a fare—GPS logs it.,I parked nearby to check my phone.
Easy 3,Easy,Same as above,Q1,Where were you around 8:45 PM last night?,Tutor,Tutoring a student—parents alibi me.,I was... getting coffee. Alone.
Easy 3,Easy,Same as above,Q2,Do you have experience with glass-cutting tools?,Lawyer,"No, I work with paper, not glass.",I’ve used them for... home projects.
Easy 3,Easy,Same as above,Q2,Do you have experience with glass-cutting tools?,Delivery Man,Only breaking down cardboard boxes.,I tinker with stuff. Could figure it out.
Easy 3,Easy,Same as above,Q2,Do you have experience with glass-cutting tools?,Doctor,Only surgical tools.,I took a glassblowing class once.
Easy 3,Easy,Same as above,Q2,Do you have experience with glass-cutting tools?,Bystander,"Nope, not my skillset.",I’ve seen YouTube videos on it.
Easy 3,Easy,Same as above,Q2,Do you have experience with glass-cutting tools?,Old Man,"Back in my day, we didn’t need fancy tools.",I used to repair windows. Long ago.
Easy 3,Easy,Same as above,Q2,Do you have experience with glass-cutting tools?,Bartender,Just for opening bottles.,I’m not handy like that.
Easy 3,Easy,Same as above,Q2,Do you have experience with glass-cutting tools?,Electrician,Only for wiring conduits.,I know my way around tools.
Easy 3,Easy,Same as above,Q2,Do you have experience with glass-cutting tools?,Taxi Driver,Changed a windshield once.,I’d probably just smash it.
Easy 3,Easy,Same as above,Q2,Do you have experience with glass-cutting tools?,Tutor,"I teach math, not shop class.",I could learn if I had to.
Easy 3,Easy,Same as above,Q3,Did you hear any unusual noises last night?,Lawyer,"No, the restaurant was loud.",I thought it was construction.
Easy 3,Easy,Same as above,Q3,Did you hear any unusual noises last night?,Delivery Man,Just truck engines idling.,"A weird buzzing, but I ignored it."
Easy 3,Easy,Same as above,Q3,Did you hear any unusual noises last night?,Doctor,OR machines drown everything out.,I might’ve heard a drill-like sound.
Easy 3,Easy,Same as above,Q3,Did you hear any unusual noises last night?,Bystander,Gym music was blasting.,Nope. Total silence.
Easy 3,Easy,Same as above,Q3,Did you hear any unusual noises last night?,Old Man,My hearing aid was off.,A high-pitched whine. Probably tinnitus.
Easy 3,Easy,Same as above,Q3,Did you hear any unusual noises last night?,Bartender,"Glasses clinking, as usual.",Too busy to notice.
Easy 3,Easy,Same as above,Q3,Did you hear any unusual noises last night?,Electrician,Power tools make noise all day.,I’m used to weird sounds.
Easy 3,Easy,Same as above,Q3,Did you hear any unusual noises last night?,Taxi Driver,Radio was on—missed it.,"I heard something, but didn’t look."
Easy 3,Easy,Same as above,Q3,Did you hear any unusual noises last night?,Tutor,Student’s dog was barking.,I thought it was a car alarm.
Easy 3,Easy,Same as above,Q4,Have you visited the jewelry store before?,Lawyer,"No, I buy watches online.",Once. Just browsing.
Easy 3,Easy,Same as above,Q4,Have you visited the jewelry store before?,Delivery Man,Dropped off packages there.,Never been inside.
Easy 3,Easy,Same as above,Q4,Have you visited the jewelry store before?,Doctor,Got my wife’s ring resized there.,I pass by it often.
Easy 3,Easy,Same as above,Q4,Have you visited the jewelry store before?,Bystander,Window-shopping sometimes.,I don’t like crowded stores.
Easy 3,Easy,Same as above,Q4,Have you visited the jewelry store before?,Old Man,Bought my late wife’s necklace there.,They overcharge. I avoid it.
Easy 3,Easy,Same as above,Q4,Have you visited the jewelry store before?,Bartender,Bought cufflinks there once.,The owner’s rude. Never again.
Easy 3,Easy,Same as above,Q4,Have you visited the jewelry store before?,Electrician,Fixed their security system last year.,They never paid me in full.
Easy 3,Easy,Same as above,Q4,Have you visited the jewelry store before?,Taxi Driver,Drove the owner home once.,I don’t remember.
Easy 3,Easy,Same as above,Q4,Have you visited the jewelry store before?,Tutor,"No, I don’t wear jewelry.",I went in... to ask for directions.
Easy 3,Easy,Same as above,Q5,Do you own any power tools?,Lawyer,Just a stapler and paper shredder.,I have a drill... for home repairs.
Easy 3,Easy,Same as above,Q5,Do you own any power tools?,Delivery Man,"Nope, just a box cutter.","A few, but they’re in storage."
Easy 3,Easy,Same as above,Q5,Do you own any power tools?,Doctor,Only medical equipment.,"A Dremel, for hobbies."
Easy 3,Easy,Same as above,Q5,Do you own any power tools?,Bystander,I rent tools if needed.,I borrowed one recently.
Easy 3,Easy,Same as above,Q5,Do you own any power tools?,Old Man,My tools are from the ‘70s—manual.,I have an old rotary tool somewhere.
Easy 3,Easy,Same as above,Q5,Do you own any power tools?,Bartender,Just a blender.,I don’t mess with that stuff.
Easy 3,Easy,Same as above,Q5,Do you own any power tools?,Electrician,Of course—it’s my job.,Why? Are you accusing me?
Easy 3,Easy,Same as above,Q5,Do you own any power tools?,Taxi Driver,A jump starter for my car.,I might have something in the trunk.
Easy 3,Easy,Same as above,Q5,Do you own any power tools?,Tutor,"No, I’m not a DIY person.",I have a small toolkit. For emergencies.
Easy 3,Easy,Same as above,Q6,Were you affected by the power outage?,Lawyer,"No, my building has a generator.",I... didn’t notice.
Easy 3,Easy,Same as above,Q6,Were you affected by the power outage?,Delivery Man,Depot stayed lit—backup power.,My flashlight died. Weird timing.
Easy 3,Easy,Same as above,Q6,Were you affected by the power outage?,Doctor,Hospital has emergency power.,I was in the elevator. Stuck briefly.
Easy 3,Easy,Same as above,Q6,Were you affected by the power outage?,Bystander,Gym had lights the whole time.,My phone died. Annoying.
Easy 3,Easy,Same as above,Q6,Were you affected by the power outage?,Old Man,Candles are always ready.,I tripped in the dark. Hurt my knee.
Easy 3,Easy,Same as above,Q6,Were you affected by the power outage?,Bartender,Bar switched to battery lights.,I spilled a drink because of it.
